timestamp_idx,accel_mag_g
0,9.9342
1,10.2113
2,9.7225
3,9.7794
4,10.1481
5,9.8309
6,9.4556
7,10.1769
8,9.9999
9,10.1788
10,9.9833
11,10.0876
12,9.9235
13,10.2272
14,9.9506
15,9.9891
16,10.2248
17,10.3207
18,10.1197
19,10.2065
20,10.1794
21,10.4961
22,10.0364
23,10.3015
24,10.3749
25,10.1648
26,10.3735
27,9.9844
28,10.1239
29,10.2675
30,10.0541
31,9.9894
32,10.0759
33,10.2336
34,9.9380
35,10.1905
36,10.2653
37,10.4813
38,9.7947
39,9.9849
40,10.1973
41,10.0277
42,9.8404
43,9.8381
44,9.9624
45,10.1211
46,9.8101
47,9.8764
48,9.5531
49,9.7769
50,9.7449
51,9.6562
52,9.8907
53,9.7372
54,9.5423
55,9.5831
56,9.2919
57,9.4503
58,9.3529
59,9.4920
60,9.6364
61,9.4212
62,9.5259
63,9.3486
64,9.5452
65,9.4266
66,9.5807
67,9.8280
68,9.2678
69,9.5187
70,9.6436
71,9.2919
72,9.2062
73,9.1137
74,9.5386
75,9.3499
76,9.2218
77,9.4509
78,9.3928
79,9.3737
80,9.5569
81,9.4619
82,9.2607
83,9.1960
84,9.6820
85,9.4765
86,9.4583
87,9.4419
88,9.5042
89,9.6013
90,9.1955
91,9.4486
92,9.7638
93,9.6821
94,9.6969
95,9.6879
96,9.7085
97,9.5946
98,9.6224
99,10.2664
100,9.8141
101,9.3912
102,9.8018
103,10.0887
104,16.7729
105,16.2540
106,16.6164
107,16.5763
108,16.3162
109,16.3485
110,16.6460
111,16.4874
112,16.7273
113,16.4610
114,16.6704
115,16.1555
116,10.0461
117,10.4315
118,10.2263
119,9.7404
120,10.1160
121,10.2031
122,10.1606
123,10.4404
124,10.2277
125,10.3014
126,10.3361
127,10.1764
128,9.9479
129,28.3725
