ax,ay,az,gx,gy,gz,hg_ax,hg_ay,hg_az,t_ms,p1_label,p1_crash,p2_label,p2_crash
0.0777,0.0884,9.9083,2.7628,3.6678,-2.2689,0.115,0.1229,9.9572,1,0,0.15370659276867144,,
-0.0438,-0.3345,9.9504,-1.4002,2.7646,0.2305,0.0106,-0.3429,10.0629,2,0,0.15370659276867144,,
-0.1438,0.0604,9.9263,-1.3395,1.7415,0.8573,-0.1479,0.0744,9.9042,3,0,0.15370659276867144,,
-0.0712,0.4701,9.9992,-0.1898,2.6248,-2.2094,-0.0807,0.4484,9.9701,4,0,0.15370659276867144,,
0.2331,-0.4218,9.4472,-3.6764,-1.817,-2.152,0.3104,-0.4394,9.4538,5,0,0.1534046229755623,,
0.2416,0.0557,9.8124,-4.6251,4.5,2.2112,0.1993,0.0345,9.8702,6,0,0.15370659276867144,,
0.0898,0.169,9.7175,-3.4787,-0.7403,1.2017,0.0318,0.1178,9.6879,7,0,0.15370659276867144,,
0.5686,-0.3375,9.7361,2.6119,-2.5871,0.7834,0.613,-0.2839,9.7499,8,0,0.15488821094857297,,
0.0678,0.2281,10.0684,-0.6,5.0013,2.922,0.1165,0.1894,10.089,9,0,0.15370659276867144,,
-0.0248,0.2727,9.9572,3.6899,0.8048,3.6082,-0.0832,0.1586,10.0916,10,0,0.15370659276867144,,
-0.1481,0.2422,10.0342,3.0037,-0.8103,0.5608,-0.1748,0.1733,10.0384,11,0,0.15370659276867144,,
-0.1555,-0.3223,9.8631,0.2974,2.878,7.6543,-0.2876,-0.2474,9.8612,12,0,0.15022508488644454,,
0.5214,-0.2328,9.7457,1.1656,1.9012,0.5176,0.5097,-0.1529,9.7025,13,0,0.15370659276867144,,
-0.0504,0.0495,9.5916,2.9444,0.8829,-4.3303,-0.0512,-0.0247,9.6269,14,0,0.15370659276867144,,
-0.3447,-0.6709,9.7121,-0.4879,3.3933,0.677,-0.3307,-0.6992,9.8284,15,0,0.15068601809729554,,
-0.0477,-0.1087,9.776,-0.6715,-4.0366,-3.6677,0.018,-0.1192,9.7869,16,0,0.15370659276867144,,
0.1667,0.1296,9.7806,1.9691,-1.4044,-3.105,0.1288,0.158,9.7665,17,0,0.15370659276867144,,
-0.1664,-0.654,9.7715,2.9362,4.0028,5.4371,-0.217,-0.6457,9.8049,18,0,0.15344253629839014,,
-0.1697,0.0087,9.8125,1.0878,-5.3446,0.5273,-0.2467,-0.0434,9.7834,19,0,0.15370659276867144,,
0.198,0.0156,10.0432,-2.099,0.6766,-1.8472,0.2707,0.0546,10.1115,20,0,0.15370659276867144,,
-0.6074,0.1233,9.9097,3.4096,7.0575,-3.6073,-0.6463,0.0908,9.938,21,0,0.138101195413111,,
0.1595,-0.3387,9.5078,2.525,3.5049,-0.2136,0.2361,-0.3626,9.5495,22,0,0.15370659276867144,,
-0.0165,0.1145,9.789,-1.7472,-1.2628,3.0438,-0.0187,0.094,9.812,23,0,0.15370659276867144,,
-0.3265,-0.1268,9.5691,3.6058,5.7723,-4.0503,-0.3367,-0.1034,9.6135,24,0,0.15370659276867144,,
0.1431,-0.3642,9.7217,2.1446,-0.5943,1.1139,0.062,-0.3817,9.7599,25,0,0.15370659276867144,,
0.015,0.362,9.7741,3.4916,0.4568,-4.7716,-0.0314,0.3283,9.7516,26,0,0.15370659276867144,,
