ax,ay,az,gx,gy,gz,hg_ax,hg_ay,hg_az,t_ms,p1_label,p1_crash,p2_label,p2_crash
-0.3376,0.0921,9.5798,0.9572,-7.0081,1.1359,-0.3533,-0.0339,9.5142,1,0,0.0,,
0.203,-0.0863,9.9292,3.5019,-0.6498,1.6596,0.194,-0.1244,9.9418,2,0,0.0,,
0.2629,-0.1522,9.6997,-2.6065,2.7994,-3.524,0.2837,-0.1607,9.6704,3,0,0.0,,
-0.413,-0.1729,9.8331,0.3362,3.7582,-1.5819,-0.3881,-0.1806,9.7679,4,0,0.0,,
0.2812,0.2766,10.0214,2.5446,-1.4024,2.4606,0.337,0.3549,10.0105,5,0,0.0,,
-0.0119,-0.3222,9.9214,-2.2124,-1.012,-4.6433,0.0355,-0.2061,9.8721,6,0,0.0,,
-0.5236,-0.0781,10.2137,2.8767,-2.6918,1.6954,-0.464,-0.0571,10.1534,7,0,0.0,,
0.4877,0.1035,9.3128,3.205,3.2998,-4.2641,0.4704,0.1126,9.218,8,0,0.0,,
-0.1285,0.0805,9.6327,6.6424,2.5601,-5.4299,-0.1237,0.1136,9.6108,9,0,0.0,,
0.5076,-0.2373,9.6943,-2.1063,2.079,1.1055,0.5052,-0.2103,9.6715,10,0,0.0,,
-0.7715,0.49,9.7574,4.4096,-0.0441,-1.0464,-0.7931,0.6155,9.8046,11,0,0.0,,
-0.3287,0.2137,9.7624,-0.4651,-3.7698,-4.4244,-0.3165,0.239,9.7694,12,0,0.0,,
-0.5942,-0.256,10.1072,1.1114,-1.2243,-0.0072,-0.5361,-0.2622,10.0779,13,0,0.0,,
-0.1066,-0.0433,10.0207,-0.8043,1.5266,-2.8807,-0.2021,-0.1042,9.9934,14,0,0.0,,
0.1518,0.0061,9.6522,1.3558,1.5982,1.1522,0.1465,0.0515,9.6152,15,0,0.0,,
0.3454,-0.2144,9.3796,-2.9728,2.4362,-5.8874,0.3164,-0.2283,9.3553,16,0,0.0,,
0.3253,0.9061,10.2151,-2.2014,0.8113,-1.3305,0.3084,0.9702,10.1082,17,0,0.0,,
-0.2511,-0.5236,9.7025,-1.8732,4.2949,2.96,-0.1665,-0.514,9.7198,18,0,0.0,,
-0.3155,0.1814,9.8795,1.8607,5.8873,2.9773,-0.2179,0.1484,9.9023,19,0,0.0,,
0.364,-0.0138,9.9323,0.2715,-1.9796,-0.3193,0.2878,0.0175,9.9484,20,0,0.0,,
-0.2125,-0.0091,9.7128,6.9416,1.8599,-0.9446,-0.2473,-0.0743,9.7585,21,0,0.0,,
-0.2756,0.484,9.8078,-2.1171,0.0484,5.6756,-0.2197,0.4784,9.8048,22,0,0.0,,
0.0007,-0.2353,9.7085,0.7623,3.3322,2.2613,0.0499,-0.2975,9.7167,23,0,0.0,,
-0.2347,-0.081,10.1364,-1.0586,-2.2525,-0.2164,-0.1275,-0.0051,10.0921,24,0,0.0,,
0.3767,0.1246,9.6628,5.3367,-1.1515,-0.0693,0.3835,0.1217,9.6734,25,0,0.0,,
0.2156,-0.404,9.6016,-3.437,3.6223,0.6877,0.27,-0.3408,9.6139,26,0,0.0,,
0.231,-0.2738,9.7901,-1.8487,-0.3412,0.9421,0.1988,-0.3629,9.8286,27,0,0.0,,
-0.0867,0.2379,9.21,4.636,1.2546,-0.7424,-0.0905,0.2706,9.21,28,0,0.0,,
