ax,ay,az,gx,gy,gz,hg_ax,hg_ay,hg_az,t_ms,p1_label,p1_crash,p2_label,p2_crash
-0.1411,0.3229,9.5856,5.9724,1.3848,0.007,-0.137,0.3829,9.5912,1,0,0.0,,
0.0748,-0.1553,9.8236,1.2827,-5.4574,-2.7254,0.0604,-0.1531,9.853,2,0,0.0,,
0.0026,-1.0208,10.0108,-5.5073,-5.554,1.3608,0.0444,-1.0179,9.9657,3,0,0.0,,
-0.3526,0.8975,9.6464,3.6872,-0.2297,1.0117,-0.3375,0.9653,9.7024,4,0,0.0,,
0.5244,0.1314,9.8624,-0.3071,-0.7409,-0.6432,0.4824,0.1214,9.8832,5,0,0.0,,
-0.2121,0.0833,10.1011,-2.063,0.4241,0.9677,-0.2219,-0.0058,10.1372,6,0,0.0,,
-0.1956,-0.5566,9.725,0.8368,1.9112,0.6848,-0.2358,-0.4961,9.7594,7,0,0.0,,
-0.119,0.055,10.1375,-1.2132,1.9263,1.5747,-0.0896,-0.0323,10.0939,8,0,0.0,,
-0.1497,-0.1684,9.9962,1.5522,-4.2861,1.6791,-0.0983,-0.1381,9.9539,9,0,0.0,,
-0.355,0.1772,9.4458,5.1718,3.9478,0.6985,-0.3224,0.209,9.4929,10,0,0.0,,
0.1296,0.1706,9.6912,-5.55,1.0383,-5.9654,0.0685,0.1339,9.6491,11,0,0.0,,
-0.5389,0.2171,9.8925,-4.9445,0.1225,1.2462,-0.479,0.2722,9.8709,12,0,0.0,,
-0.4902,-0.0059,9.9645,1.1506,4.8841,1.1492,-0.4872,-0.1233,9.9621,13,0,0.0,,
-0.1672,0.021,9.8587,-3.2957,-0.2672,-4.7209,-0.127,-0.0077,9.8602,14,0,0.0,,
0.1404,0.3479,9.8862,0.3537,6.2557,-0.826,0.1064,0.32,9.9197,15,0,0.0,,
0.085,-0.475,10.1352,1.4145,-3.8749,4.0946,0.0683,-0.3848,10.2263,16,0,0.0,,
-0.0389,-0.0547,10.0147,6.1053,0.5351,-8.0986,0.0169,-0.071,10.0379,17,0,0.0,,
0.0028,0.0212,9.889,-4.6242,2.0525,2.013,-0.0373,0.0675,9.9718,18,0,0.0,,
-0.0053,0.076,10.0573,4.2873,2.532,4.749,-0.0371,0.0326,9.9367,19,0,0.0,,
0.2107,-0.046,10.2301,-2.7365,-0.8458,3.9262,0.3372,-0.005,10.2554,20,0,0.0,,
0.3176,-0.0709,9.6702,0.2531,-4.2372,7.9485,0.4275,-0.1344,9.6848,21,0,0.0,,
-0.9561,0.1379,9.7947,0.7248,-4.8284,5.041,-0.9277,0.1676,9.7666,22,0,0.0,,
0.646,0.4214,9.8303,-1.1291,-2.902,-4.3012,0.5921,0.3691,9.9141,23,0,0.0,,
-0.0635,0.4718,10.3063,-3.0361,-1.0862,1.5815,-0.1018,0.4809,10.2034,24,0,0.0,,
0.1805,0.1542,9.8103,-0.3874,-1.7386,4.0183,0.1982,0.1546,9.8868,25,0,0.0,,
0.5373,0.3672,9.9926,-2.6645,2.3006,-0.0621,0.5506,0.32,9.9088,26,0,0.0,,
-0.1212,-0.1388,9.9149,-0.2296,4.5464,-0.3242,-0.1579,-0.1827,9.9369,27,0,0.0,,
0.0964,-0.0164,9.9677,-0.7801,1.3432,-3.1715,0.0015,-0.0132,9.9032,28,0,0.0,,
0.1221,0.2348,9.6729,-2.7038,3.0079,5.9932,0.1273,0.2704,9.6401,29,0,0.0,,
-0.0932,-0.6329,10.0424,-1.037,-1.4594,1.0279,-0.0349,-0.668,9.9574,30,0,0.0,,
0.2151,0.0838,9.9757,1.0928,-1.7229,1.073,0.152,0.1116,9.9864,31,0,0.0,,
0.2815,0.3628,9.7653,0.6479,-4.5277,2.9732,0.2098,0.3831,9.7925,32,0,0.0,,
0.0541,0.4804,9.5688,-0.722,1.1652,-0.8131,-0.045,0.5283,9.5499,33,0,0.0,,
0.0759,-0.1787,9.5635,1.0752,2.1882,-2.8465,0.0394,-0.1664,9.519,34,0,0.0,,
-0.3985,-0.4284,9.8126,0.555,-2.9295,-2.7122,-0.276,-0.3888,9.7517,35,0,0.0,,
0.5304,-0.1269,9.8009,2.9051,2.9466,-0.1146,0.5954,-0.1357,9.8305,36,0,0.0,,
-0.0026,-0.054,10.3531,-0.607,-4.6495,0.3666,-0.0757,-0.1113,10.37,37,0,0.0,,
-0.0198,0.1083,9.7177,-4.0648,0.6052,-0.7153,-0.025,0.1153,9.7192,38,0,0.0,,
0.0562,-0.335,9.9693,-0.5734,2.0001,0.6007,0.0409,-0.4196,10.0192,39,0,0.0,,
0.2624,0.1004,9.8249,2.8986,-1.5383,1.9919,0.2991,0.0399,9.8438,40,0,0.0,,
-0.2471,0.3076,9.8427,1.1947,-3.0633,-0.4311,-0.36,0.2629,9.9022,41,0,0.0,,
0.0582,0.5176,9.9532,0.6041,4.789,-1.3225,0.0141,0.5521,9.8535,42,0,0.0,,
0.3392,0.1128,9.9355,-6.2075,5.7819,4.2448,0.2443,0.0262,9.8897,43,0,0.0,,
0.0889,0.1288,9.7382,0.0151,-2.4468,4.7362,0.0693,0.0831,9.7924,44,0,0.0,,
