ax,ay,az,gx,gy,gz,hg_ax,hg_ay,hg_az,t_ms,p1_label,p1_crash,p2_label,p2_crash
-0.1668,0.0426,9.8028,1.1178,-1.7708,-5.3106,-0.1192,0.1376,9.8394,1,0,0.15370659276867144,,
-0.0402,0.2524,9.9157,-1.3027,2.8572,5.546,-0.0229,0.212,9.8958,2,0,0.15370659276867144,,
-0.0174,0.0447,9.9189,-0.595,5.5803,0.5476,-0.051,0.0763,9.9123,3,0,0.15370659276867144,,
0.3256,-0.5188,9.9579,-5.0884,-0.9343,-0.021,0.272,-0.4978,10.0186,4,0,0.15370659276867144,,
0.44,0.1763,9.5805,0.7848,-1.6813,-1.1413,0.439,0.1461,9.6681,5,0,0.15370659276867144,,
0.0206,-0.3316,9.7306,6.5274,2.6655,1.3923,0.0104,-0.3081,9.7113,6,0,0.1528511125999369,,
0.2383,-0.1956,9.8266,1.5508,-2.7466,0.7963,0.1763,-0.2739,9.8023,7,0,0.15370659276867144,,
0.336,0.2601,10.2329,-3.1837,-4.5291,-2.4389,0.3291,0.2379,10.217,8,0,0.1526504524297057,,
-0.2813,0.2673,9.9456,-3.4848,-2.1067,-0.7401,-0.2613,0.1628,9.8773,9,0,0.15370659276867144,,
-0.0167,0.2975,9.8435,0.7491,-2.4846,-4.3619,-0.0782,0.2591,9.8352,10,0,0.15370659276867144,,
0.2226,0.3006,9.4871,6.2698,-5.742,2.4167,0.153,0.2838,9.5546,11,0,0.15370659276867144,,
-0.1738,-0.0544,10.1703,0.6039,-4.5215,0.7202,-0.155,-0.117,10.2307,12,0,0.1526504524297057,,
0.5534,-0.2224,10.0273,3.2429,0.2466,0.5759,0.6487,-0.3088,10.0355,13,0,0.1519128146320545,,
-0.4185,-0.1228,9.3426,1.4361,-5.794,2.9589,-0.4981,-0.1288,9.3483,14,0,0.15048811230813114,,
-0.1783,-0.1689,9.589,-6.5311,5.9331,3.5028,-0.1398,-0.2185,9.5434,15,0,0.15370659276867144,,
-0.3484,0.8131,9.6952,-2.5566,-0.0672,-2.704,-0.213,0.7325,9.6989,16,0,0.1488952481978357,,
-0.3198,-0.1101,9.9232,2.402,-3.8307,-6.2975,-0.361,-0.166,10.0107,17,0,0.15370659276867144,,
0.1598,-0.1733,10.0058,5.4546,1.9026,-2.8974,0.1683,-0.2622,10.0132,18,0,0.15370659276867144,,
-0.1429,-0.526,9.7577,-3.7148,-0.0198,2.4174,-0.1104,-0.5428,9.7587,19,0,0.15370659276867144,,
0.2029,-0.041,9.7391,-1.2303,3.7395,-2.7597,0.2409,-0.0572,9.7654,20,0,0.15370659276867144,,
0.5189,-0.0125,9.7734,-1.0676,1.6799,-3.1849,0.5224,-0.0383,9.7343,21,0,0.15370659276867144,,
